   7.93635273       6.41334915       8.54617596       6.89176941       5.43734407       2.49029398       8.44154739       5.27489567      0.124679796       6.27352285    
   8.02466583       6.34278727       8.68532753       6.87166929       5.40601587       2.66665220       8.39210129       5.03141165      -4.47404049E-02   6.38927507    
   8.05941200       6.22878551       8.87824059       6.89419603       5.37469244       2.84301519       8.34246063       4.78873920      -5.54037169E-02   6.50502729    
   8.09372044       6.11390781       9.07167244       6.91710567       5.34337616       3.01937938       8.29273319       4.54656172      0.111756206       6.62077951    
   8.12892532       5.99944544       9.26424408       6.93929958       5.31205988       3.19574356       8.24297142       4.30468416      0.283339649       6.73653173    
   8.16451073       5.88510847       9.45644379       6.96118259       5.28074360       3.37210774       8.19318962       4.06299019      0.454922795       6.85228395    
   8.20025444       5.77078676       9.64848709       6.98293447       5.24942732       3.54847193       8.14340782       3.82140923      0.626506507       6.96803617    
   8.23606586       5.65645504       9.84046173       7.00462723       5.21812248       3.72483611       8.09362602       3.57989836      0.798090398       7.08378839    
   8.27190495       5.54210520       10.0318441       7.02629185       5.18681812       3.90120029       8.04384422       3.33843303      0.969674289       7.19954062    
   8.30776310       5.42774153       10.0762577       7.04794121       5.15552187       4.07756710       7.99406242       3.09699774       1.14125812       7.31529284    
   8.34362125       5.31337214       9.89500523       7.06957865       5.12422943       4.25393724       7.94428062       2.85558200       1.31284201       7.43104506    
   8.37949657       5.19900274       9.70303059       7.09120035       5.09293699       4.43030739       7.89449883       2.61418033       1.48442590       7.54679728    
   8.41537857       5.08464098       9.51104069       7.11280632       5.06164885       4.60667753       7.84471703       2.37278843       1.65600979       7.66254950    
   8.45126057       4.97029161       9.31904221       7.13439178       5.03036833       4.78304768       7.79493523       2.13140273       1.82759368       7.77830172    
   8.48715305       4.85595608       9.12704372       7.15596056       4.99908781       4.95941782       7.74515343       1.89002216       1.99917758       7.89405394    
   8.52305889       4.74163437       8.93503094       7.17751122       4.96780729       5.13578796       7.69537163       1.64864433       2.17076135       8.00980663    
   8.55896473       4.62732458       8.74300861       7.19904947       4.93652678       5.31215811       7.64558983       1.40726936       2.34234524       8.12555885    
