   1.45000684       1.09093750    
   1.56784225       1.28097796    
   1.68567765       1.47101843    
   1.80351305       1.66105890    
   1.92134845       1.85109937    
   2.03918290       2.04113913    
   2.15701532       2.23117661    
   2.27484775       2.42121410    
   2.39268017       2.61125159    
   2.51051259       2.80128908    
   2.62834501       2.99132657    
   2.74617743       3.18136406    
   2.86400986       3.37140155    
   2.98184228       3.56143904    
   3.09967470       3.75147653    
   3.21750712       3.94151402    
   3.33533955       4.13155556    
   3.45317197       4.32159901    
   3.57100439       4.51164246    
   3.68883681       4.70168591    
   3.80666924       4.89172935    
   3.92450166       5.08177280    
   4.04233599       5.27181625    
   4.16017437       5.46185970    
   4.27801275       5.65190315    
   4.39585114       5.84194660    
   4.51368952       6.03199005    
   4.63152790       6.22203350    
   4.74936628       6.41207695    
   4.86720467       6.60212040    
   4.98504305       6.79216385    
   5.10288143       6.98220730    
   5.22071981       7.17225075    
   5.33855820       7.36229420    
   5.45639658       7.55233765    
   5.57423496       7.74238110    
   5.69207335       7.93242455    
   5.80991173       8.12246799    
   5.92775011       8.31251144    
   6.04558849       8.50255489    
   6.16342688       8.69259834    
   6.28126526       8.88264179    
   6.39910364       9.07268524    
   6.51694202       9.26272869    
   6.63478041       9.45277214    
   6.75261879       9.64281559    
   6.87045717       9.83285904    
   6.98829556       10.0227165    
   7.10613394       10.0810738    
   7.22397232       9.90518188    
   7.34181070       9.71501923    
   7.45964909       9.52485657    
   7.57748747       9.33469391    
   7.69532585       9.14453125    
   7.81316423       8.95436859    
   7.93100262       8.76420593    
   8.04883575       8.57404327    
   8.16666222       8.38388062    
   8.28448868       8.19371796    
   8.40231514       8.00355530    
   8.52014160       7.81338072    
   8.63796806       7.62320614    
   8.75579453       7.43303156    
   8.87362099       7.24285698    
   8.99144745       7.05268240    
   9.10927391       6.86250782    
   9.22710037       6.67233324    
   9.34492683       6.48215866    
   9.46275330       6.29198408    
   9.58057976       6.10180950    
   9.69840622       5.91163492    
   9.81623268       5.72146034    
   9.93405914       5.53128576    
   10.0458651       5.34111118    
   10.0209761       5.15093660    
   9.90348816       4.96076202    
   9.78556633       4.77058744    
   9.66764450       4.58041286    
   9.54972267       4.39023829    
   9.43180084       4.20006371    
   9.31387901       4.00988913    
   9.19595718       3.81971455    
   9.07803535       3.62953997    
   8.96011353       3.43936539    
   8.84219170       3.24919081    
   8.72426987       3.05901623    
   8.60634804       2.86884165    
   8.48842621       2.67866707    
   8.37050438       2.48849249    
   8.25258255       2.29831791    
   8.13466072       2.10814333    
   8.01673889       1.91797006    
   7.89881706       1.72779846    
   7.78089523       1.53762686    
   7.66297340       1.34745526    
   7.54505157       1.15728366    
   7.42712975      0.967112064    
   7.30920792      0.776940465    
   7.19128609      0.586768866    
   7.07336426      0.396597266    
   6.95544243      0.206425577    
   6.83752060       1.62536949E-02
   6.71959877      -9.62724462E-02
   6.60167694       5.56668416E-02
   6.48375511      0.245894685    
   6.36583328      0.436122179    
   6.24791145      0.626350164    
   6.12998962      0.816578388    
   6.01206779       1.00680661    
   5.89414597       1.19703484    
   5.77622414       1.38726306    
   5.65830231       1.57749128    
   5.54038048       1.76771951    
   5.42245865       1.95794773    
   5.30453682       2.14817595    
   5.18661499       2.33840418    
   5.06869316       2.52863240    
   4.95077133       2.71886063    
   4.83284950       2.90908885    
   4.71492767       3.09931707    
   4.59700584       3.28954530    
   4.47908401       3.47977352    
   4.36116219       3.67000175    
   4.24324036       3.86022997    
   4.12531853       4.05045652    
   4.00739670       4.24067879    
   3.88948059       4.43090105    
   3.77156472       4.62112331    
   3.65364885       4.81134558    
   3.53573298       5.00156784    
   3.41781712       5.19179010    
   3.29990125       5.38201237    
   3.18198538       5.57223463    
   3.06406951       5.76245689    
   2.94615364       5.95267916    
   2.82823777       6.14290142    
   2.71032190       6.33312368    
   2.59240603       6.52334595    
   2.47449017       6.71356821    
   2.35657430       6.90379047    
   2.23865843       7.09401274    
   2.12074256       7.28423500    
   2.00282669       7.47445726    
   1.88491082       7.66467953    
   1.76699495       7.85490179    
   1.64907908       8.04512691    
   1.53116322       8.23536110    
   1.41324735       8.42559528    
   1.29533148       8.61582947    
   1.17741561       8.80606365    
   1.05949974       8.99629784    
  0.941583872       9.18653202    
  0.823668003       9.37676620    
  0.705752134       9.56700039    
  0.587836266       9.75723457    
  0.469920397       9.94746876    
  0.352004528       10.0968866    
  0.234088600       9.98059654    
  0.116172373       9.79029083    
  -1.74372224E-03   9.59998512    
  -5.62098622E-02   9.40967941    
   4.63143438E-02   9.21937370    
  0.164199769       9.02906799    
  0.282085091       8.83876228    
  0.399970412       8.64845657    
  0.517855823       8.45815086    
  0.635741889       8.26784515    
  0.753627956       8.07753944    
  0.871514022       7.88722658    
  0.989400089       7.69690895    
   1.10728610       7.50659132    
   1.22517216       7.31627369    
   1.34305823       7.12595606    
   1.46094429       6.93563843    
   1.57883036       6.74532080    
   1.69671643       6.55500317    
   1.81460249       6.36468554    
   1.93248856       6.17436790    
   2.05037451       5.98405027    
   2.16826057       5.79373264    
   2.28614664       5.60341501    
   2.40403271       5.41309738    
   2.52191877       5.22277975    
   2.63980484       5.03246212    
   2.75769091       4.84214449    
   2.87557697       4.65182686    
   2.99346304       4.46150923    
   3.11134911       4.27119160    
   3.22923517       4.08087397    
   3.34712124       3.89055634    
   3.46500731       3.70023870    
   3.58289337       3.50992107    
   3.70077944       3.31960344    
   3.81866550       3.12928581    
   3.93655157       2.93896818    
   4.05443764       2.74865055    
   4.17232370       2.55833292    
   4.29020977       2.36801529    
