   1.58763874       9.76631832       3.91612720       1.83815801       9.97415447       7.21791935       5.81006050       2.39626884       4.76689148       8.13457680       5.88792515       8.84923363       2.86472917       7.90546656       4.14843321       5.18753576       9.88550568      0.962868452       7.37615442       1.87443590    
   1.53256714       9.89657116       3.92391086       1.97937322       10.0078163       7.35523891       5.75932503       2.52822614       4.63498735       8.08415985       5.79196835       8.95317078       2.74527931       7.82980442       4.26454306       5.26828241       9.80784988      0.844675720       7.25608587       1.94929492    
   1.47750163       10.0263729       3.93174338       2.12060380       10.0205574       7.49255848       5.70869541       2.66010976       4.50329494       8.03392696       5.69574690       9.05691051       2.62587714       7.75415564       4.38065290       5.34903002       9.73018265      0.726484597       7.13586473       2.02421284    
   1.42244005       10.0804014       3.93963647       2.26185346       9.99293518       7.62987804       5.65818548       2.79189730       4.37169743       7.98380852       5.59937668       9.16052532       2.50652623       7.67852068       4.49676275       5.42977762       9.65251541      0.608294725       7.01546717       2.09920907    
   1.36738133       9.97674370       3.94760513       2.40312719       9.95909882       7.76719761       5.60780621       2.92355990       4.24012804       7.93375301       5.50292158       9.26406002       2.38722897       7.60289812       4.61287260       5.51053476       9.57484818      0.490105927       6.89486122       2.17431116    
   1.31232607       9.84645271       3.95566893       2.54443097       9.92526245       7.90451717       5.55756569       3.05506182       4.10855293       7.88372850       5.40641880       9.36754608       2.26798677       7.52728987       4.72897291       5.59129381       9.49718094      0.371918023       6.77402210       2.24954820    
   1.25727463       9.71614838       3.96385145       2.68577313       9.89142609       8.04183388       5.50746250       3.18636227       3.97695184       7.83371687       5.30988741       9.47099972       2.14879966       7.45169878       4.84507322       5.67206049       9.41951370      0.253730834       6.65292645       2.32495403    
   1.20222795       9.58583832       3.97218537       2.82716393       9.85758972       8.17914391       5.45748425       3.31741548       3.84531236       7.78369904       5.21333981       9.57443333       2.02966857       7.37612820       4.96117115       5.75282955       9.34184647      0.135544211       6.53155231       2.40056586    
   1.14718676       9.45551300       3.98071241       2.96861696       9.82375336       8.31645393       5.40760183       3.44817281       3.71362901       7.73367023       5.11678076       9.67784977       1.91059399       7.30058146       5.07726192       5.83360577       9.26417923       1.73579622E-02   6.40988970       2.47642231    
   1.09215224       9.32517433       3.98948693       3.11015034       9.78991699       8.45376396       5.35776758       3.57858086       3.58189750       7.68362617       5.02021408       9.78126335       1.79157567       7.22506332       5.19334507       5.91437721       9.18651199      -7.39820004E-02   6.28793192       2.55255961    
   1.03712595       9.19481754       3.99858117       3.25178862       9.75608063       8.59107399       5.30790710       3.70858383       3.45011353       7.63356543       4.92364502       9.88466072       1.67261398       7.14957762       5.30942202       5.99514246       9.10884476      -2.03616675E-02   6.16568041       2.62901211    
  0.982109308       9.06443787       4.00808859       3.39356256       9.72224426       8.72838402       5.25791740       3.83812475       3.31827331       7.58348751       4.82707453       9.98805809       1.55370867       7.07413101       5.42549229       6.07589579       9.03117752       9.76478681E-02   6.04314423       2.70580792    
  0.927104473       8.93402672       4.01813364       3.53551459       9.68840790       8.86569405       5.20766306       3.96714306       3.18637323       7.53339195       4.73049593       10.0654173       1.43485963       6.99873066       5.54155445       6.15663433       8.95351028      0.215902194       5.92033958       2.78296804    
  0.872113526       8.80357838       4.02886724       3.67769599       9.65457153       9.00300407       5.15697145       4.09557581       3.05440927       7.48327875       4.63391733       10.0146561       1.31606638       6.92338610       5.65760851       6.23735523       8.87584305      0.334156930       5.79728508       2.86050653    
  0.817139566       8.67307854       4.04046774       3.82016706       9.62073517       9.14031410       5.10564613       4.22335815       2.92237782       7.43314838       4.53733873       9.91139221       1.19732845       6.84810781       5.77365494       6.31805611       8.79817581      0.452411950       5.67400122       2.93842649    
  0.762186229       8.54251575       4.05308819       3.96297574       9.58689880       9.27762413       5.05351877       4.35044050       2.79027557       7.38299990       4.44076014       9.80801392       1.07864499       6.77291155       5.88969231       6.39873791       8.72050858      0.570667505       5.55050755       3.01673198    
  0.707257748       8.41187096       4.06666327       4.10608196       9.55306244       9.41493416       5.00064230       4.47686481       2.65809798       7.33283472       4.34418154       9.70463562      0.960016012       6.69781446       6.00572014       6.47940111       8.64284134      0.688923120       5.42682076       3.09541607    
  0.652359486       8.28111839       4.08024502       4.24908590       9.51922607       9.55224419       4.94795322       4.60303211       2.52584004       7.28265429       4.24760103       9.60125732      0.841440976       6.62284088       6.12173796       6.56004810       8.56517410      0.807179391       5.30294323       3.17448044    
  0.597497702       8.15022945       4.09006166       4.39039660       9.48538971       9.68955421       4.89921856       4.73052788       2.39349532       7.23245859       4.15101290       9.49787903      0.722920597       6.54802036       6.23774624       6.64068031       8.48750687      0.925436199       5.17888308       3.25392628    
  0.542680323       8.01916218       4.08668947       4.52594757       9.45155334       9.82686424       4.86385727       4.86341286       2.26105332       7.18225145       4.05442476       9.39450073      0.604457200       6.47339153       6.35374498       6.72130108       8.40983963       1.04369342       5.05464745       3.33375454    
  0.487917453       7.88785982       4.06130552       4.65170479       9.41771698       9.96417427       4.85067940       5.00571966       2.12849903       7.13204050       3.95783663       9.29111290      0.486055881       6.39900351       6.46973467       6.80191278       8.33217239       1.16195142       4.93024778       3.41396713    
  0.433222771       7.75625753       4.01960182       4.76991510       9.38388062       10.0807505       4.85397434       5.15521431       1.99581075       7.08182955       3.86124587       9.18771553      0.367725790       6.32491636       6.58571625       6.88251686       8.25450516       1.28020942       4.80569887       3.49454999    
