   4.09766865       3.74370837       7.29900217       2.14951539    
   4.24017143       3.61258411       7.30224466       2.01839113    
   4.38267422       3.48145986       7.30548716       1.88726723    
   4.52517700       3.35033560       7.30872965       1.75614595    
   4.66767979       3.21921134       7.31197214       1.62502468    
   4.81018734       3.08808112       7.31521463       1.49390495    
   4.95270205       2.95695090       7.31845284       1.36278701    
   5.09521675       2.82581854       7.32168341       1.23167217    
   5.23773813       2.69468236       7.32491398       1.10056102    
   5.38026476       2.56354046       7.32813263      0.969455123    
   5.52280235       2.43239069       7.33134413      0.838356674    
   5.66535091       2.30123091       7.33454418      0.707268775    
   5.80791616       2.17005610       7.33772898      0.576195776    
   5.95050049       2.03886032       7.34089327      0.445143878    
   6.09311056       1.90763462       7.34403086      0.314121813    
   6.23575306       1.77636683       7.34713650      0.183141753    
   6.37843704       1.64504099       7.35020161       5.22200093E-02
   6.52116823       1.51363492       7.35321808      -6.21023774E-02
   6.66396523       1.38210523       7.35616922      -2.74063228E-03
   6.80693054       1.25023830       7.35895252      0.128430456    
   6.95036793       1.11740625       7.36126232      0.260566443    
   7.07851219       1.01734626       7.37886620      0.359930664    
   7.11088705       1.12681699       7.49224186      0.249764100    
   7.12974501       1.26649725       7.61913157      0.109387927    
   7.14902115       1.40519333       7.74560452      -2.91559268E-02
   7.16844034       1.54354632       7.87193346      -5.09277172E-02
   7.18792343       1.68175459       7.99819899       8.26478377E-02
   7.20746183       1.81985343       8.12440968      0.221953109    
   7.22705078       1.95786357       8.25057030      0.361346573    
   7.24668455       2.09580398       8.37668419      0.500810385    
   7.26635742       2.23368907       8.50275993      0.640329480    
   7.28606367       2.37153077       8.62880135      0.779891908    
   7.30579758       2.50933909       8.75481510      0.919487774    
   7.32555628       2.64712143       8.88080502       1.05910957    
   7.34533405       2.78488374       9.00677681       1.19875133    
   7.36512804       2.92263055       9.13273335       1.33840835    
   7.38493490       3.06036592       9.25867271       1.47807729    
   7.40475225       3.19809175       9.38460541       1.61775517    
   7.42457676       3.33581066       9.51053143       1.75744009    
   7.44441223       3.47352433       9.63644028       1.89713073    
   7.46424866       3.61123490       9.76234913       2.03682542    
   7.48409510       3.74893951       9.88825798       2.17652297    
   7.50394344       3.88664412       10.0140629       2.31622434    
   7.52379179       4.02434587       10.0542507       2.45592570    
   7.54364538       4.16204453       9.93822384       2.59562993    
   7.56350565       4.29974318       9.81229115       2.73533726    
   7.58336687       4.43743753       9.68635845       2.87504816    
   7.60323906       4.57512426       9.56042576       3.01476407    
   7.62311935       4.71280479       9.43448067       3.15448737    
   7.64301157       4.85047436       9.30852413       3.29422235    
   7.66292191       4.98812819       9.18254757       3.43397331    
   7.68285465       5.12575769       9.05655003       3.57374763    
   7.70281744       5.26335382       8.93052197       3.71355605    
   7.72281933       5.40089941       8.80445576       3.85341382    
   7.74287033       5.53837395       8.67833900       3.99334264    
   7.76298141       5.67574930       8.55216312       4.13337183    
   7.78316212       5.81298637       8.42591572       4.27353859    
   7.80341911       5.95003891       8.29959393       4.41388941    
   7.82375145       6.08685589       8.17319584       4.55447531    
   7.84414911       6.22338438       8.04673386       4.69534874    
   7.86458921       6.35958290       7.92022753       4.83655405    
   7.88504410       6.49542189       7.79371071       4.97811890    
   7.90547514       6.63089657       7.66721392       5.12004852    
   7.92585230       6.76602364       7.54077196       5.26232576    
   7.94615078       6.90084028       7.41440868       5.40491056    
   7.96635771       7.03539705       7.28813696       5.54775763    
   7.98647070       7.16974735       7.16195917       5.69081211    
   8.00649643       7.30393982       7.03586817       5.83402443    
   8.02644730       7.43801594       6.90985250       5.97735262    
   8.04633427       7.57201004       6.78389978       6.12076330    
   8.06617165       7.70594597       6.65799713       6.26423073    
