   23.6477470       7.30798292       39.8672829       24.1910515       1.29832840       14.9906693    
   23.8419151       6.55758429       40.2872810       23.5402641      0.845712483       15.6189499    
   24.0360832       5.80718565       40.7072792       22.8894768      0.393093407       16.2472305    
   24.2302513       5.05678701       41.1272774       22.2386894      -4.97760288E-02   16.8755112    
   24.4244194       4.30638838       41.5472755       21.5879021      0.328724593       17.5037918    
   24.6185875       3.55598974       41.9672737       20.9371147      0.781493366       18.1320724    
   24.8127556       2.80559111       42.3872719       20.2863274       1.23426211       18.7603531    
   25.0069237       2.05519247       42.8072701       19.6355400       1.68703091       19.3886337    
   25.2010918       1.30478275       43.2272682       18.9847527       2.13979602       20.0169144    
   25.3952599      0.554375768       43.6472664       18.3339653       2.59255290       20.6451950    
   25.5894279      -8.71342868E-02   44.0672646       17.6831779       3.04530978       21.2734756    
   25.7835960      0.642427623       44.4872627       17.0323906       3.49806666       21.9017563    
   25.9777641       1.39313900       44.9072609       16.3816032       3.95082355       22.5300369    
   26.1719322       2.14384770       45.3272591       15.7308559       4.40358067       23.1583176    
   26.3661003       2.89455628       45.7472572       15.0801640       4.85633755       23.7865982    
   26.5602684       3.64526486       46.1672554       14.4294720       5.30909443       24.4148788    
   26.7544365       4.39598608       46.5872536       13.7787800       5.76185131       25.0431595    
   26.9486046       5.14671850       47.0072517       13.1280880       6.21460819       25.6714401    
   27.1427727       5.89745092       47.4272499       12.4773960       6.66736507       26.2997208    
   27.3369408       6.64818335       47.8472481       11.8267040       7.12012196       26.9280014    
   27.5311089       7.39891577       48.2672462       11.1760120       7.57287884       27.5562820    
   27.7252769       8.14964771       48.6872444       10.5253201       8.02563858       28.1845627    
   27.9194450       8.90038013       49.1072426       9.87462807       8.47844315       28.8128433    
   28.1136131       9.65111256       49.5272408       9.22393608       8.93124771       29.4411240    
   28.3077812       10.4018450       49.9472389       8.57324409       9.38405228       30.0694046    
   28.5019493       11.1525774       49.8032379       7.92254639       9.83685684       30.6976852    
   28.6961174       11.9033098       49.3836212       7.27180672       10.2896614       31.3259659    
   28.8902855       12.6540422       48.9640045       6.62106705       10.7424660       31.9542465    
   29.0844536       13.4047747       48.5443878       5.97032738       11.1952705       32.5825272    
   29.2786217       14.1555071       48.1247711       5.31958771       11.6480751       33.2108078    
   29.4727898       14.9062395       47.7051544       4.66884804       12.1008797       33.8390884    
   29.6669579       15.6569719       47.2855377       4.01810837       12.5536842       34.4673691    
   29.8611259       16.4077034       46.8659210       3.36739206       13.0064888       35.0956497    
   30.0552940       17.1584358       46.4463043       2.71667624       13.4592934       35.7239304    
   30.2494621       17.9091682       46.0266876       2.06596041       13.9120979       36.3522110    
   30.4436302       18.6599007       45.6070709       1.41523385       14.3649025       36.9804916    
   30.6377983       19.4106331       45.1874542      0.764508307       14.8177071       37.6087723    
   30.8319664       20.1613655       44.7678375      0.113785028       15.2705116       38.2370529    
   31.0261345       20.9120979       44.3482208      0.272907615       15.7233162       38.8653336    
   31.2203026       21.6628304       43.9286041      0.923206210       16.1761208       39.4936142    
   31.4144707       22.4135628       43.5089874       1.57350481       16.6289253       40.1218948    
   31.6086388       23.1642952       43.0893707       2.22380757       17.0817299       40.7501755    
   31.8028069       23.9150276       42.6697540       2.87411809       17.5345345       41.3784561    
   31.9969749       24.6657600       42.2501373       3.52442861       17.9873390       42.0067368    
   32.1911430       25.4164925       41.8305206       4.17473888       18.4401436       42.6350174    
   32.3853111       26.1672249       41.4109039       4.82504940       18.8929482       43.2632980    
